Table 3 
The Chemical Abundances and Radial Velocities of Nebulae


No.	c(Hbeta)	n _e	T _e [O III]	T _e [N II]	T _e [O II]	O/H	O/H	O/H	N/H	Ne/H	S/H	Cl/H	Ar/H	He/H	V	sigma (V_r)	R	R/R _25	
36	0.063	1.0	cdots	cdots	cdots	8.30	8.28	8.21	6.89	cdots	6.52	cdots	cdots	cdots	-9	46	8.053	1.1181	
37	0.081	49.3	cdots	cdots	cdots	8.49	8.51	8.22	7.02	cdots	6.52	cdots	cdots	cdots	-25	37	0.732	0.1017	
38	0.03	1.0	cdots	cdots	cdots	8.11	8.11	8.29	7.17	cdots	6.47	cdots	5.75	10.75	7	57	6.150	0.8539	
39	0.213	82.3	cdots	cdots	cdots	8.16	8.21	8.00	7.33	cdots	6.47	cdots	5.76	10.80	-1	69	5.138	0.7134	
40	0.23	21.3	9091	cdots	cdots	8.11	8.13	8.29	7.54	7.46	6.60	cdots	5.86	10.77	15	52	5.216	0.7242	
41	0.281	3.5	cdots	cdots	cdots	8.47	8.56	7.36	7.22	cdots	6.18	cdots	5.31	10.89	-74	29	0.375	0.0521	
42	0.26	163.6	8624	cdots	cdots	8.26	8.24	8.21	7.72	7.92	6.39	cdots	5.92	10.80	-19	60	4.343	0.6030	
43	0.335	1.0	cdots	cdots	cdots	8.27	8.43	7.55	6.66	cdots	5.96	cdots	4.97	10.09	-16	37	6.722	0.9334	
44	0.254	77.2	cdots	cdots	cdots	8.44	8.44	8.05	6.82	cdots	6.24	cdots	5.37	10.54	7	26	2.155	0.2992	
45	0.036	56.9	7922	8333	cdots	8.34	8.30	8.39	7.70	7.94	6.80	5.02	6.17	10.91	1	32	1.604	0.2228	
46	0.088	112.8	8110	8917	cdots	8.31	8.26	8.36	7.73	7.72	6.81	4.94	6.13	10.79	-47	44	4.111	0.5708	
47	0.158	21.3	8098	9795	cdots	8.37	8.34	8.09	7.85	7.33	6.76	5.16	6.00	10.70	-6	6	1.988	0.2760	
48	0.111	41.6	7896	11,232	cdots	8.24	8.23	8.31	7.75	7.65	6.74	5.20	6.12	10.69	15	27	5.168	0.7175	
49	0.057	16.2	7283	8889	cdots	8.36	8.34	8.31	7.72	7.66	6.83	5.14	6.13	10.74	-41	7	2.229	0.3094	
50	0.059	28.9	8492	9822	cdots	8.29	8.25	8.29	7.70	7.74	6.76	4.96	6.06	10.78	-36	4	4.194	0.5823	
51	0.168	34.0	cdots	cdots	6986	8.42	8.41	8.87	7.38	cdots	6.81	cdots	6.16	10.53	82	3	2.153	0.2990	
52	0.157	1.0	cdots	cdots	cdots	8.24	8.21	7.95	6.85	cdots	6.43	cdots	cdots	cdots	83	15	4.470	0.6207	
53	0.057	87.4	cdots	cdots	cdots	8.32	8.52	7.90	6.80	cdots	6.47	cdots	5.78	cdots	98	1	3.016	0.4188	
54	0.009	1.0	10,434	cdots	cdots	8.38	8.30	8.23	7.17	cdots	6.56	cdots	5.83	10.72	79	1	4.948	0.6870	
55	0.132	13.7	cdots	cdots	cdots	8.32	8.35	8.08	6.84	cdots	6.26	cdots	5.87	10.58	85	5	3.553	0.4933	
56	0.197	1.0	cdots	cdots	cdots	8.39	8.39	8.07	7.15	cdots	6.84	cdots	5.83	cdots	69	1	1.791	0.2487	
57	0.495	1.0	cdots	cdots	cdots	8.47	8.36	8.41	6.95	cdots	6.55	cdots	cdots	cdots	-78	6	4.127	0.5730	
58	0.055	41.6	cdots	cdots	cdots	8.38	8.41	8.17	6.95	cdots	6.83	cdots	5.56	10.73	-5	4	3.508	0.4870	
59	0.126	112.8	cdots	cdots	cdots	8.38	8.35	8.04	6.86	cdots	6.15	cdots	cdots	cdots	33	5	6.713	0.9321	
60	0.059	204.2	cdots	cdots	cdots	8.45	8.41	8.14	7.12	cdots	6.89	cdots	cdots	cdots	58	6	5.030	0.6984	
61	0.005	3.5	cdots	cdots	cdots	8.40	8.47	8.03	7.04	cdots	6.74	cdots	cdots	cdots	47	3	2.025	0.2811	
62	0.012	1.0	cdots	cdots	cdots	8.28	cdots	8.20	6.67	cdots	6.01	cdots	cdots	cdots	51	9	7.079	0.9829	
63	0.055	1.0	cdots	cdots	cdots	8.31	8.35	8.18	6.79	cdots	6.45	cdots	5.61	10.48	53	5	5.354	0.7433	
64	0.066	1.0	cdots	cdots	cdots	8.38	8.43	8.04	6.97	cdots	6.92	cdots	cdots	cdots	27	5	5.823	0.8085	
65	0.002	1.0	cdots	cdots	cdots	8.34	8.36	8.23	6.80	cdots	6.67	cdots	5.53	10.60	43	6	4.925	0.6838	
66	0.042	8.6	cdots	8486	cdots	8.43	8.44	8.49	7.20	7.97	6.83	cdots	5.84	10.55	-77	8	2.746	0.3813	
67	0.006	1.0	cdots	cdots	cdots	8.31	8.35	8.25	6.81	cdots	6.54	cdots	5.63	cdots	12	10	5.769	0.8010	
68	0.36	46.7	cdots	cdots	cdots	8.37	8.44	7.80	6.86	cdots	6.62	cdots	cdots	cdots	10	7	3.757	0.5217	
69	0.073	1.0	cdots	cdots	cdots	8.40	8.53	8.13	6.72	cdots	6.71	cdots	cdots	cdots	43	4	5.462	0.7583	
70	0.142	36.6	cdots	cdots	cdots	8.40	8.43	7.83	7.13	cdots	6.70	cdots	5.37	10.78	40	1	1.913	0.2656	
71	0.191	128.0	cdots	cdots	cdots	8.22	8.18	8.20	6.97	cdots	6.19	cdots	5.57	10.68	66	8	7.083	0.9834	
72	0.186	1.0	cdots	cdots	cdots	8.30	8.38	7.96	6.64	cdots	6.29	cdots	5.46	10.53	76	2	5.308	0.7370	
73	0.172	143.3	cdots	cdots	cdots	8.29	8.35	7.43	6.54	cdots	5.90	cdots	5.45	10.54	-76	10	6.133	0.8516	
74	0.19	62.0	cdots	cdots	cdots	8.43	8.41	8.02	7.06	cdots	6.45	cdots	5.46	cdots	-75	6	2.591	0.3597	
75	0.204	1.0	cdots	cdots	cdots	8.38	8.38	8.12	6.74	cdots	6.12	cdots	5.49	10.39	-4	8	2.316	0.3216	
76	0.208	72.1	cdots	cdots	cdots	8.32	8.47	8.05	6.39	cdots	6.17	cdots	cdots	cdots	-13	10	6.227	0.8646	
77	0.16	1.0	cdots	cdots	cdots	8.46	8.44	7.89	7.09	cdots	6.24	cdots	5.47	10.59	-59	5	0.820	0.1139	
78	0.063	56.9	cdots	cdots	cdots	8.40	8.39	7.47	6.87	cdots	6.15	cdots	5.87	10.99	-89	4	5.640	0.7830	
79	0.05	31.5	cdots	cdots	cdots	8.46	8.39	8.15	7.26	cdots	6.81	cdots	cdots	cdots	-61	4	3.203	0.4447	
80	0.292	244.9	cdots	cdots	cdots	8.47	8.46	7.89	7.28	cdots	6.93	cdots	cdots	cdots	-31	9	2.524	0.3504	
81	0.001	31.5	cdots	cdots	cdots	8.33	8.40	8.13	6.85	cdots	6.58	cdots	cdots	cdots	-49	8	4.539	0.6302	
82	0.458	148.3	cdots	cdots	cdots	8.27	8.28	8.00	7.32	cdots	6.75	cdots	5.90	cdots	79	9	5.114	0.7101	
83	0.014	36.6	cdots	cdots	cdots	8.34	8.51	7.83	6.86	cdots	6.84	cdots	cdots	cdots	42	5	5.408	0.7509	
84	0.003	1.0	cdots	cdots	cdots	8.40	8.37	7.54	6.57	cdots	6.24	cdots	cdots	cdots	66	5	5.577	0.7743	
85	0.17	1.0	cdots	cdots	cdots	8.40	8.39	7.95	7.06	cdots	6.45	cdots	5.72	10.69	-84	7	5.654	0.7850	
86	0.312	138.2	cdots	cdots	cdots	8.00	8.39	7.96	6.97	cdots	6.17	cdots	6.74	cdots	-70	90	7.298	1.0132	
87	0.145	16.2	9199	cdots	cdots	8.22	8.24	8.21	6.80	7.43	6.15	cdots	5.64	10.51	-31	7	6.555	0.9102	
88	0.242	67.0	cdots	cdots	cdots	8.25	8.29	8.09	6.59	cdots	6.13	cdots	5.43	10.45	-91	7	6.575	0.9130	
89	0.182	26.4	7948	cdots	cdots	8.24	8.24	8.44	7.29	7.68	6.48	cdots	5.83	10.58	-54	5	4.111	0.5708	
90	0.007	31.5	cdots	cdots	cdots	8.52	8.50	7.99	7.19	cdots	6.74	cdots	cdots	cdots	-73	5	2.044	0.2838	
91	0.001	46.7	cdots	cdots	cdots	8.25	8.47	7.95	6.65	cdots	6.48	cdots	cdots	cdots	-6	9	7.509	1.0425	
92	0.116	3.5	cdots	cdots	cdots	8.25	8.26	8.17	7.02	cdots	6.53	cdots	5.81	10.73	80	6	5.143	0.7141	
93	0.244	51.8	cdots	cdots	cdots	8.31	8.29	8.12	6.72	cdots	6.07	cdots	5.45	10.35	-10	7	6.356	0.8824	
94	0.207	1.0	cdots	cdots	cdots	8.41	8.39	7.93	7.06	cdots	6.46	cdots	5.58	10.50	33	4	2.050	0.2847	
95	0.047	1.0	cdots	cdots	cdots	8.33	8.49	7.85	6.82	cdots	6.73	cdots	5.76	cdots	39	2	5.164	0.7170	
96	0.247	1.0	cdots	cdots	cdots	8.24	8.21	8.22	6.77	cdots	6.37	cdots	5.19	cdots	15	8	7.139	0.9911	
97	0.251	1.0	cdots	cdots	cdots	8.19	8.22	8.11	6.57	7.74	6.03	cdots	5.34	10.44	72	6	6.090	0.8456	
98	0.137	1.0	cdots	cdots	cdots	8.24	8.31	8.12	6.30	cdots	5.94	cdots	5.25	cdots	29	7	7.968	1.1063	
99	0.159	1.0	cdots	cdots	cdots	8.44	8.46	8.06	6.91	cdots	6.33	cdots	5.57	10.55	-14	9	2.021	0.2807	
100	0.117	1.0	cdots	cdots	cdots	8.23	8.23	8.18	7.01	7.89	6.51	cdots	5.74	10.74	-38	5	6.955	0.9656	
101	0.099	77.2	7432	9048	cdots	8.24	8.24	8.41	7.81	7.76	6.58	5.20	6.16	10.83	22	8	3.048	0.4232	
102	0.083	1.0	cdots	8237	cdots	8.42	cdots	8.19	7.36	7.43	6.57	cdots	5.78	10.66	67	8	1.165	0.1617	
103	0.135	11.2	cdots	cdots	cdots	8.35	8.56	7.48	6.77	cdots	6.16	cdots	5.17	10.62	-4	3	2.542	0.3530	
104	0.138	112.8	8190	cdots	cdots	8.22	8.22	8.25	7.78	7.53	6.55	5.09	6.07	10.83	-34	6	4.059	0.5636	
105	0.069	1.0	cdots	cdots	cdots	8.32	8.29	8.15	7.14	cdots	6.42	cdots	5.80	10.71	-5	5	7.986	1.1088	
106	0.232	74.7	cdots	cdots	cdots	8.24	8.42	8.13	6.88	cdots	6.44	cdots	cdots	cdots	106	4	7.104	0.9864	
107	0.223	36.6	cdots	cdots	cdots	8.31	8.25	8.21	7.18	8.02	6.27	cdots	5.75	10.35	101	6	5.572	0.7736	
108	0.138	158.5	cdots	cdots	cdots	8.31	8.31	8.00	7.27	cdots	6.53	cdots	5.87	10.51	60	6	6.726	0.9339	
109	0.211	219.5	cdots	cdots	cdots	8.21	8.23	8.02	7.15	7.92	6.50	cdots	cdots	10.76	24	12	5.140	0.7136	
110	0.012	1.0	cdots	cdots	cdots	8.26	8.24	8.15	6.92	cdots	5.90	cdots	5.41	10.71	36	5	7.960	1.1051	
Note. A value of T _e = 10,000 K was assumed to calculate the ionic and total abundances, when T _e is not available.
